ID,Writing,Format and organization,Language and bibliographic,Argumentation
ba27d188-fa92-470a-981d-41f047b7c062,4,4,4,4
2044f610-75f5-4615-a2b0-84da5f156ab1,4,5,4,4
4f42af4e-8bfb-4ddd-9c07-84dbcffac798,4,4,4,4
5724a694-2451-4428-a36d-47b550dfe3ed,4,4,4,4
2886faae-afbb-4ac8-b8c7-adf8239ddc61,3,2,3,3
d8f80cf1-c5cb-4b63-be33-f075b82d358b,4,4,4,3
dbbee9cf-04da-41f5-be24-a3b8e8fb6f4f,5,4,4,5
67df2487-6e1e-4881-b2ba-8fd18daf6a44,3,3,3,3
46f7d924-4269-4cc5-b07a-c5a5a12063d4,5,5,5,5
2729fa4a-8d2f-4039-96e7-3a95d0c68dce,5,5,4,5
696cc23e-665b-4a55-ac59-e441756f12b4,3,4,4,4
446f8d64-e008-4f8a-a7bc-33619591896c,4,3,4,3
169b9f0e-727b-48a0-9f71-41cf1d2a3ead,4,4,4,4
403df32e-0a1c-44a0-854b-87aea4b11d85,4,2,2,2
7fa19496-0eb0-4d55-9b6d-42be67df54c6,3,4,4,4
e8ddee86-fa0d-4f34-b9a9-5f9a45939852,4,3,4,3
3fb643f1-b206-479d-8c44-37c346f06cbd,4,4,3,3
aeb4bcaa-5c64-48f1-b845-89f86c3321b0,4,4,4,4
88bdab3f-7ae4-4a6b-892b-6f61b46875b2,5,2,4,4
03f5fff4-4304-4943-a609-dee6137922eb,5,5,5,5
2d8bd568-64c5-4654-be29-dbcdb40b2944,4,4,4,3
ca74e594-f2f2-47fe-a562-8210683d81d8,4,3,3,4
4e60b389-b3c8-4885-a5d9-5df7c4cf459f,5,3,4,4
74cb4290-c57c-44cf-91a3-2e32fd62e159,4,2,3,3
3437751c-90c5-42e8-8fcf-a40378bc7833,5,4,4,5
f581ca7e-22b0-41d7-b848-bdee7737324c,4,4,4,4
41a327bc-3e74-4628-a831-34c4f73b5beb,4,5,4,4
182dc192-8b09-46b9-9cb9-9ccb3e2af9a7,5,4,4,4
a20aae87-ab33-491d-b95c-22ae67717fec,3,3,3,2
c85d85a4-a701-4966-9400-62e7a72e6bcd,5,5,5,5
3cae289c-2366-4f79-80a6-7b4362ec8a64,5,4,5,5
f460f7ab-6ae2-4ad5-a593-74c22e32c575,3,3,3,2
56b1d6fc-c4f7-4722-bf70-ccf3bd4894df,5,5,5,5
615f5b7f-1382-4575-b040-a3c02ebf7e7c,4,3,3,2
a0b7abb8-da69-4c66-b72f-f9ab750a025e,3,3,3,2
d527489c-f229-4d8a-8ab3-0bd0dbd392b1,5,4,3,4
a0fa00ce-3bb4-49b7-87bf-d163d7d42ec0,3,4,3,3
0205ccc8-c66f-4aed-8b27-3a1f899f6ca7,4,4,4,4
a69da5e4-6307-4966-b40e-1ad347d6ae8e,4,2,3,3
60f2e977-e742-4d6c-9aef-89747faab1a5,4,4,4,4
408cb594-18db-48a9-9e45-1299fd6074b4,5,4,5,5
dd32ca7a-4d8d-44ed-9a84-c0c906cfcbfb,3,3,3,3
5ab7bd41-5e1d-477a-9b79-e6447dacee85,4,4,4,4
e6e09887-788b-41a9-b327-a31969ebc30f,4,4,4,5
202d0143-c8ff-4303-a32a-3f754e47a930,5,4,4,4
6498721c-7b51-49e9-b2ee-a0b5e02f4ba9,4,4,3,4
da8bf849-31a3-4c8f-bc15-811adf75fc92,4,3,4,4
54f1deea-f4e4-44ab-9d35-cc448c68dc04,4,3,3,3
ab59caf9-d440-4a34-a2e4-c2ed2f9c7bb7,5,5,4,4
b1a408f0-9207-4ca7-b42e-8e4dd83f29f6,3,3,3,3
7a940f98-d3bd-4a09-9254-265b49d84031,5,5,5,5
34de3841-4b5a-4461-8851-2f10578bf752,4,3,4,4
818cf4bc-9aba-4c19-b1a8-2d6b280abdbb,4,3,3,3
c2dcaf26-66a5-4a9c-8319-76c433bda266,3,3,3,2
fd1f994b-57f2-4327-abb5-c026491ca388,4,4,5,4
e90e17db-f120-43c4-941d-573306a4a3ef,5,3,4,4
53724c9e-404e-4643-b016-83158e4674fb,5,4,4,4
9849ab1b-2226-41e8-93cf-91fa970cac59,4,4,3,4
173f825e-b889-4e16-a839-1f9edf0b6403,3,3,4,4
7764a9e0-43e6-4727-82b3-1183148c5f12,4,3,3,3
25417107-d288-4dcf-a856-4f5089678195,4,3,4,3
81aaf7af-3b8b-4aa2-8a59-949ed3031d6a,5,5,5,5
050aada5-c1b0-46c5-abb8-1195650a5e1a,4,4,5,4
73edc45c-735a-4b32-a649-3f77d2d96d33,4,4,4,4
03bff2b3-8d94-4811-ba84-bee9557156e0,4,3,3,4
7b70413e-db67-4cb5-9cd8-0f51390260ea,4,4,4,4
589ae4ad-c571-4a55-b61a-1a84476630f8,3,3,3,2
0d427b56-3f03-4537-ae9f-3f57442bdca4,4,3,3,4
aa700905-c6fb-435d-8d1b-ad1f8a628d2a,4,2,2,1
834049cc-0664-4bf3-83e6-a8094d7ed50c,4,4,4,4
7a44e84b-b7b2-4581-a11d-537b83721a5d,3,3,4,3
573bbcbb-aab8-46d7-b4c3-bfc04d5a9eb1,4,2,3,3
c33e4e02-e7a8-4b45-afa9-5bf7f04eec2b,4,2,4,3
9ff164e7-a4fd-4b02-9a42-5c32e3608600,5,4,5,4
93635a98-9a90-4466-a57a-2f885a916f58,4,3,3,2
d47399e9-ea51-4d70-a599-b73ef1596a62,3,3,4,4
4469ab9b-cef6-4f33-bf4e-2bd476e433d6,4,3,3,3
47f688ed-5c5e-4e78-9cbc-342522fe5058,4,3,4,3
25d47a14-7528-4b02-80b3-f1c20d5520a9,4,3,3,4
2f0ebaac-8e8c-4212-a361-5ea6b69dd527,4,3,3,4
691e5a46-9442-49c8-a138-11343c3243fc,3,3,3,2
0838ba2d-7f06-4dae-a4f6-ece80ce87347,4,2,4,4
f782844e-79b6-4375-b42f-6c34e186df9f,5,4,4,4
ea13718a-2a2c-4568-9140-accb536abfef,3,4,3,4
769f1bef-0ffe-4e55-834f-bfaaeca8d53f,3,3,2,2
47cd7482-480f-49b2-85ae-b653742c2dc7,4,4,3,3
402cc7ac-869c-4956-a942-d1becd51b5e4,5,4,4,4
8dafba15-8ca8-4f5a-a217-b5cd756a8601,4,3,4,4
a5a829fd-2f20-4461-898f-d20934bf2b8c,4,3,3,3
7c91d17c-1362-4402-8fdf-74cabb03e50c,3,3,3,3
55a59d2c-88a7-45d2-b6a2-8d39f9c11c34,4,4,4,4
